colour_code,colour_name,product_line,set_size_ct,included
120,ultramarine,Albrecht Durer Magnus,24,1
120,ultramarine,Albrecht Durer Magnus,30,1
121,pale geranium lake,Polychromos colour pencils,24,1
121,pale geranium lake,Polychromos colour pencils,36,1
121,pale geranium lake,Polychromos colour pencils,60,1
121,pale geranium lake,Polychromos colour pencils,72,1
121,pale geranium lake,Polychromos Pastels,60,1
121,pale geranium lake,Albrecht Durer watercolour pencils,24,1
121,pale geranium lake,Albrecht Durer watercolour pencils,36,1
121,pale geranium lake,Albrecht Durer watercolour pencils,60,1
121,pale geranium lake,Albrecht Durer watercolour pencils,72,1
121,pale geranium lake,Albrecht Durer Magnus,24,1
121,pale geranium lake,Albrecht Durer Magnus,30,1
123,fuchsia,Polychromos Pastels,24,1
123,fuchsia,Polychromos Pastels,36,1
123,fuchsia,Polychromos Pastels,60,1
124,rose carmine,Polychromos colour pencils,36,1
124,rose carmine,Polychromos colour pencils,60,1
124,rose carmine,Polychromos colour pencils,72,1
124,rose carmine,Albrecht Durer watercolour pencils,36,1
124,rose carmine,Albrecht Durer watercolour pencils,60,1
124,rose carmine,Albrecht Durer watercolour pencils,72,1
124,rose carmine,Pitt Pastel pencils,36,1
124,rose carmine,Pitt Pastel pencils,60,1
125,middle purple pink,Polychromos colour pencils,36,1
125,middle purple pink,Polychromos colour pencils,60,1
125,middle purple pink,Polychromos colour pencils,72,1
125,middle purple pink,Polychromos Pastels,36,1
125,middle purple pink,Polychromos Pastels,60,1
125,middle purple pink,Albrecht Durer watercolour pencils,36,1
125,middle purple pink,Albrecht Durer watercolour pencils,60,1
125,middle purple pink,Albrecht Durer watercolour pencils,72,1
125,middle purple pink,Albrecht Durer Magnus,30,1
126,permanent carmine,Albrecht Durer watercolour pencils,72,1
126,permanent carmine,Polychromos colour pencils,60,1
126,permanent carmine,Polychromos colour pencils,72,1
126,permanent carmine,Albrecht Durer watercolour pencils,60,1
127,pink carmine,Pitt Pastel pencils,12,1
127,pink carmine,Pitt Pastel pencils,24,1
127,pink carmine,Pitt Pastel pencils,36,1
127,pink carmine,Pitt Pastel pencils,60,1
129,pink madder lake,Polychromos colour pencils,60,1
129,pink madder lake,Polychromos colour pencils,72,1
129,pink madder lake,Polychromos Pastels,60,1
129,pink madder lake,Albrecht Durer watercolour pencils,60,1
129,pink madder lake,Albrecht Durer watercolour pencils,72,1
130,salmon,Polychromos Pastels,60,1
131,coral,Polychromos colour pencils,60,1
131,coral,Polychromos colour pencils,72,1
131,coral,Polychromos Pastels,36,1
131,coral,Polychromos Pastels,60,1
131,coral,Albrecht Durer watercolour pencils,60,1
131,coral,Albrecht Durer watercolour pencils,72,1
131,coral,Pitt Pastel pencils,36,1
131,coral,Pitt Pastel pencils,60,1
132,beige red,Polychromos colour pencils,72,1
132,beige red,Polychromos Pastels,12,1
132,beige red,Polychromos Pastels,24,1
132,beige red,Polychromos Pastels,36,1
132,beige red,Polychromos Pastels,60,1
132,beige red,Albrecht Durer watercolour pencils,72,1
132,beige red,Pitt Pastel pencils,24,1
132,beige red,Pitt Pastel pencils,36,1
132,beige red,Pitt Pastel pencils,60,1
133,magenta,Polychromos colour pencils,12,1
133,magenta,Polychromos colour pencils,24,1
133,magenta,Polychromos colour pencils,36,1
133,magenta,Polychromos colour pencils,60,1
133,magenta,Polychromos colour pencils,72,1
133,magenta,Polychromos Pastels,60,1
133,magenta,Albrecht Durer watercolour pencils,12,1
133,magenta,Albrecht Durer watercolour pencils,24,1
133,magenta,Albrecht Durer watercolour pencils,36,1
133,magenta,Albrecht Durer watercolour pencils,60,1
133,magenta,Albrecht Durer watercolour pencils,72,1
133,magenta,Albrecht Durer Magnus,12,1
133,magenta,Albrecht Durer Magnus,24,1
133,magenta,Albrecht Durer Magnus,30,1
134,crimson,Polychromos colour pencils,72,1
134,crimson,Polychromos Pastels,60,1
134,crimson,Albrecht Durer watercolour pencils,72,1
136,purple violet,Polychromos colour pencils,60,1
136,purple violet,Polychromos colour pencils,72,1
136,purple violet,Albrecht Durer watercolour pencils,60,1
